2I 1162 	N	S	STP 	2I  	STAR PERU                     	19/04/2011	12:05	     	JUL 	JULIACA                       	AQP 	AREQUIPA                      	     	  -  	                    	     	
LA 2567 	I	L	LAN 	LA  	LAN                           	19/04/2011	18:10	     	VVI 	SANTA CRUZ                    	LPB 	LA PAZ                        	     	  -  	                    	     	0
2I 2121 	N	L	STP 	2I  	STAR PERU                     	19/04/2011	09:45	10:01	TRU 	TRUJILLO                      	CIX 	CHICLAYO                      	4    	  -  	ATERRIZO            	     	
LA 2511 	I	L	LAN 	LA  	LAN                           	19/04/2011	04:35	     	MIA 	MIAMI                         	    	                              	     	  -  	DEMORADO            	     	
AT 1803 	N	L	AMP 	AT  	ATSA                          	19/04/2011	09:00	09:40	CGL 	CHAGUAL                       	    	                              	1    	  -  	ATERRIZO            	     	0
AT 1630 	N	L	AMP 	AT  	ATSA                          	19/04/2011	09:00	09:40	PIS 	PIAS                          	    	                              	1    	  -  	ATERRIZO            	     	0
TA 008  	N	L	TPU 	TA  	TACA                          	19/04/2011	09:21	09:41	CUZ 	CUSCO                         	    	                              	3    	  -  	ATERRIZO            	     	0
TA 143  	I	L	TPU 	TA  	TACA                          	19/04/2011	09:29	09:28	    	R.JANEIRO                     	    	                              	3    	  -  	ATERRIZO            	     	0
P9 231  	N	L	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	09:30	09:49	AQP 	AREQUIPA                      	    	                              	1    	  -  	ATERRIZO            	     	
TA 081  	I	L	TPU 	TA  	TACA                          	19/04/2011	09:30	10:40	BSB 	BRASILIA                      	    	                              	     	  -  	CONFIRMADO          	     	0
LR 624  	I	L	LRC 	LR  	LACSA                         	19/04/2011	09:30	09:23	SCL 	SANTIAGO                      	    	                              	1    	  -  	ATERRIZO            	     	0
TA 042  	I	L	TPU 	TA  	TACA                          	19/04/2011	09:35	09:26	UIO 	QUITO                         	    	                              	2    	  -  	ATERRIZO            	     	0
TA 038  	I	L	TPU 	TA  	TACA                          	19/04/2011	09:40	09:43	LPB 	LA PAZ                        	    	                              	5    	  -  	ATERRIZO            	     	P
TA 137  	I	L	TPU 	TA  	TACA                          	19/04/2011	09:40	09:19	    	SAO PAULO                     	    	                              	1    	  -  	ATERRIZO            	     	0
LA 2010 	N	L	LAN 	LA  	LAN                           	19/04/2011	09:45	09:47	CUZ 	CUSCO                         	    	                              	2    	  -  	ATERRIZO            	     	0
LA 1631 	I	L	LAN 	LA  	LAN                           	19/04/2011	09:45	09:37	GYE 	GUAYAQUIL                     	    	                              	6    	  -  	ATERRIZO            	     	0
TA 040  	I	L	TPU 	TA  	TACA                          	19/04/2011	09:45	09:17	MVD 	MONTEVIDEO                    	    	                              	5    	  -  	ATERRIZO            	     	0
TA 089  	I	L	TPU 	TA  	TACA                          	19/04/2011	09:45	11:30	POA 	PORTO ALEG                    	    	                              	     	  -  	DEMORADO            	     	0
LA 2634 	I	L	LAN 	LA  	LAN                           	19/04/2011	09:45	09:35	SCL 	SANTIAGO                      	    	                              	6    	  -  	ATERRIZO            	     	0
TA 108  	N	L	TPU 	TA  	TACA                          	19/04/2011	09:45	10:03	TPP 	TARAPOTO                      	    	                              	3    	  -  	CONFIRMADO          	     	0
